Client ID,Date,Transaction Category,Withdraw Amount,Deposit Amount,Balance After Transaction
1,2024-04-10 19:33:08.874398,Utilities,235.34776533913762,0.0,3135.6850657951354
1,2024-04-10 19:33:08.874398,Utilities,427.27322382480105,0.0,2708.4118419703345
1,2024-04-11 19:33:08.874398,Leisure,478.0077028628502,0.0,2230.4041391074843
1,2024-04-11 19:33:08.874398,Healthcare,486.23411701576674,0.0,1744.1700220917176
1,2024-04-11 19:33:08.874398,Salary,0.0,4219.488284732282,5963.658306824
1,2024-04-11 19:33:08.874398,Education,146.07686823096898,0.0,5817.581438593031
1,2024-04-12 19:33:08.874398,Healthcare,348.7105455723958,0.0,5468.870893020635
1,2024-04-12 19:33:08.874398,Utilities,368.2398569865708,0.0,5100.631036034064
1,2024-04-12 19:33:08.874398,Travel,313.98616079945504,0.0,4786.644875234609
1,2024-04-12 19:33:08.874398,Healthcare,36.477057136406515,0.0,4750.167818098203
1,2024-04-13 19:33:08.874398,Healthcare,88.71807617157742,0.0,4661.449741926625
1,2024-04-14 19:33:08.874398,Healthcare,169.2991802819998,0.0,4492.150561644626
1,2024-04-14 19:33:08.874398,Travel,490.96778726250204,0.0,4001.1827743821236
1,2024-04-15 19:33:08.874398,Leisure,247.36787250848263,0.0,3753.814901873641
1,2024-04-15 19:33:08.874398,Salary,0.0,3433.3704541723155,7187.185356045957
1,2024-04-15 19:33:08.874398,Education,360.23974282980805,0.0,6826.945613216149
1,2024-04-15 19:33:08.874398,Salary,0.0,1919.4120403139427,8746.35765353009
1,2024-04-15 19:33:08.874398,Food,297.88850868855326,0.0,8448.469144841538
1,2024-04-16 19:33:08.874398,Utilities,189.9809678187791,0.0,8258.488177022758
1,2024-04-17 19:33:08.874398,Travel,117.3471029905424,0.0,8141.141074032216
1,2024-04-17 19:33:08.874398,Travel,80.74003659952207,0.0,8060.4010374326945
1,2024-04-17 19:33:08.874398,Healthcare,438.1978616137881,0.0,7622.203175818906
1,2024-04-17 19:33:08.874398,Shopping,225.3452814406528,0.0,7396.857894378253
1,2024-04-18 19:33:08.874398,Salary,0.0,4166.96201601131,11563.819910389564
